question,response,country
45,2,Burkina Faso Q45
45,5,Burkina Faso Q45
45,2,Burkina Faso Q45
45,2,Burkina Faso Q45
45,2,Burkina Faso Q45
45,2,Burkina Faso Q45
45,2,Burkina Faso Q45
45,2,Burkina Faso Q45
45,3,Burkina Faso Q45
45,1,Burkina Faso Q45
45,2,Burkina Faso Q45
45,2,Burkina Faso Q45
45,2,Burkina Faso Q45
45,2,Burkina Faso Q45
45,2,Burkina Faso Q45
45,2,Burkina Faso Q45
45,2,Burkina Faso Q45
45,2,Burkina Faso Q45
45,3,Burkina Faso Q45
45,3,Burkina Faso Q45
45,4,Burkina Faso Q45
45,3,Burkina Faso Q45
45,2,Burkina Faso Q45
45,3,Burkina Faso Q45
45,4,Burkina Faso Q45
45,3,Burkina Faso Q45
45,3,Burkina Faso Q45
45,2,Burkina Faso Q45
45,3,Burkina Faso Q45
45,3,Burkina Faso Q45
45,3,Burkina Faso Q45
45,2,Burkina Faso Q45
45,3,Burkina Faso Q45
45,3,Burkina Faso Q45
45,3,Burkina Faso Q45
45,3,Burkina Faso Q45
45,3,Burkina Faso Q45
45,3,Burkina Faso Q45
45,3,Burkina Faso Q45
45,3,Burkina Faso Q45
45,4,Burkina Faso Q45
45,5,Burkina Faso Q45
45,3,Burkina Faso Q45
45,2,Burkina Faso Q45
45,2,Burkina Faso Q45
45,2,Burkina Faso Q45
45,2,Burkina Faso Q45
45,2,Burkina Faso Q45
45,3,Burkina Faso Q45
45,2,Burkina Faso Q45
45,2,Burkina Faso Q45
45,2,Burkina Faso Q45
45,2,Burkina Faso Q45
45,3,Burkina Faso Q45
45,3,Burkina Faso Q45
45,3,Burkina Faso Q45
45,3,Burkina Faso Q45
45,3,Burkina Faso Q45
45,3,Burkina Faso Q45
45,3,Burkina Faso Q45
45,3,Burkina Faso Q45
45,3,Burkina Faso Q45
45,2,Burkina Faso Q45
45,3,Burkina Faso Q45
45,3,Burkina Faso Q45
45,3,Burkina Faso Q45
45,3,Burkina Faso Q45
